X,Grid,Year,site,mgmt,camtype,trapnights,avgprecip,pctsavanna,riverkm_perkm2,roadkm_perkm2,distboundarykm,distedgekm,avg_FRP,prey_det,preyper100tn,logprey,LionTrigs,human_occ,livest_occ,lion_occ,competitor_occ
79,L4,2017,SIN,HC,WF,64,27,0.92,2132.251099,2.871990013,10.77915719,16.55107494,3.9,56,87.5,4.471638793,0,1,0.999989005,0.450467556,1
80,L5,2017,SIN,HC,IR,62,26.75,0.84,2987.397998,2.375302052,1.023188431,20.26706638,21.11428571,2,3.225806452,1.171182982,0,0.256620494,0.999989005,0.495475522,0.281515967
81,L6,2017,ARL,NP,WF,90,26.75,0.92,3276.014978,1.029170036,4.812948713,18.03887717,1,42,46.66666667,3.843030134,2,0.029701486,0.085210497,1,1
82,L7,2017,OUA,HC,IR,67,26.83333333,0.96,4294.614651,6.287900482,2.192733467,14.31781964,4.26086957,37,55.2238806,4.011395479,0,0.272170357,0.999989005,0.495475522,1
83,L8,2017,OUA,HC,IR,67,26.75,0.84,3741.651156,7.908384285,2.483647698,8.200694002,8.10526316,3,4.47761194,1.499089855,0,0.272170357,0.999989005,0.495475522,0.483970755
84,M1,2017,PN,HC,IR,85,29,0.956521739,2359.542087,0.945721006,4.821815616,4.490138291,1.57272727,39,45.88235294,3.826080576,0,1,0.999989005,0.46454578,1
85,M17,2017,WBK,NP,IR,110,27,1,2381.711987,3.322861052,2.63930914,2.63930914,9.32,13,11.81818182,2.469639178,0,0.079946419,0.085210497,0.44916779,0.181573884
86,M18,2017,WBK,NP,WF,110,26.75,1,3628.91131,1.28679297,11.13845077,11.13845077,13.55,14,12.72727273,2.54374715,0,0.079946419,0.085210497,0.379157182,0.181573884
87,M19,2017,WBK,NP,IR,114,26.5,0.96,2250.536279,4.553553497,7.892780213,13.63317456,5.56666667,13,11.40350877,2.433921095,0,1,0.070450323,0.433886362,0.100723213
88,M2,2017,PN,HC,IR,86,28.25,1,3691.869009,3.434061027,6.256463871,8.134828839,2.3,76,88.37209302,4.48155623,0,0.255240043,0.999989005,0.46454578,1
89,M3,2017,PN,HC,WF,85,28,0.842105263,4382.074728,5.370358038,0.082415366,15.86781189,5.53333333,196,230.5882353,5.440633589,3,0.255240043,0.999989005,1,1
90,M4,2017,SIN,HC,WF,64,28,0.8,3429.356003,7.9620709,4.862164076,25.01287557,6.9,14,21.875,3.085344432,0,0.256620494,0.999989005,0.450467556,0.281954445
91,M5,2017,SIN,HC,WF,62,28,0.92,1759.140015,2.986676025,1.598859056,29.26082524,2.94166667,17,27.41935484,3.311249145,1,0.256620494,0.999989005,1,1
92,M6,2017,ARL,NP,IR,93,28,0.92,2731.692728,1.663353014,7.969067039,27.61888516,8.77692308,18,19.35483871,2.962942451,1,0.029701486,0.085210497,1,1
93,M7,2017,ARL,NP,IR,96,27.83333333,0.84,3146.099369,2.474185991,4.035378288,22.16596812,1.425,20,20.83333333,3.036554268,0,0.029701486,0.085210497,0.44916779,1
